(13224, 99015) 
(13549, 99062) 
(14149, 99121) 
(15128, 99185) 
(16455, 99352) 
(16483, 99355) 
(16902, 99372) 
(17052, 99384) 
(604, 99642) 
(1206, 99696) 
(1310, 99707) 
(1499, 99736) 
(1676, 99737) 
(1785, 99760) 
(2256, 99810) 
(3312, 99874) 
(3373, 99883) 
(3586, 99906) 
(3745, 99920) 
(3989, 99936) 
(4380, 99966) 
(5174, 100041) 
(5731, 100097) 
(5949, 100122) 
(6324, 100154) 
(7142, 100192) 
(8045, 100256) 
(8515, 100311) 
(9068, 100349) 
(9276, 100381) 
(10003, 100419) 
(10499, 100477) 
(10554, 100481) 
(11355, 100540) 
(12914, 100662) 
(13252, 100694) 
(13300, 100703) 
(13651, 100745) 
(15549, 100912) 
(15907, 100964) 
(17574, 101073) 
(18416, 101116) 
(1408, 101343) 
(3269, 101483) 
(3717, 101522) 
(4524, 101582) 
(4706, 101617) 
(5093, 101624) 
(6250, 101730) 
(7377, 101781) 
(8518, 101876) 
(9195, 101918) 
(9411, 101938) 
(9504, 101940) 
(10221, 101981) 
(10338, 101995) 
(11220, 102070) 
(11720, 102100) 
(12306, 102141) 
(13569, 102255) 
(14963, 102346) 
(15345, 102372) 
(15569, 102420) 
(15792, 102450) 
(16634, 102510) 
(17045, 102530) 
(688, 102781) 
(1996, 102889) 
(2222, 102909) 
(2223, 102914) 
(3520, 102993) 
(4552, 103057) 
(4684, 103077) 
(5186, 103093) 
(5696, 103131) 
(6498, 103196) 
(6655, 103200) 
(8634, 103329) 
(8811, 103340) 
(8845, 103343) 
(9601, 103377) 
(10320, 103422) 
(11071, 103460) 
(11616, 103510) 
(12008, 103538) 
(13430, 103648) 
(13455, 103653) 
(15444, 103797) 
(16240, 103882) 
(18487, 104000) 
(19848, 104112) 
(643, 104158) 
(1728, 104237) 
(1879, 104248) 
(4427, 104406) 
(5271, 104445) 
(6386, 104526) 
(7782, 104579) 
(8738, 104652) 
(9240, 104679) 
(12627, 104857) 
(15096, 105040) 
(15597, 105100) 
(15700, 105106) 
(16421, 105165) 
(16913, 105180) 
(17178, 105185) 
(17444, 105215) 
(17567, 105217) 
(18864, 105285) 
(19720, 105356) 
(19923, 105376) 
(1760, 105484) 
(1967, 105498) 
(2383, 105523) 
(2743, 105542) 
(4243, 105613) 
(4336, 105620) 
(4348, 105623) 
(4780, 105657) 
(5625, 105689) 
(7952, 105807) 
(8005, 105811) 
(8433, 105838) 
(10492, 105947) 
(11123, 105973) 
(11125, 105976) 
(11977, 106020) 
(13402, 106118) 
(13917, 106162) 
(15424, 106257) 
(17279, 106362) 
(17665, 106378) 
(17730, 106380) 
(18872, 106439) 
(19561, 106495) 
(19723, 106502) 
(19893, 106510) 
(228, 106521) 
(1159, 106562) 
(1684, 106606) 
(2326, 106636) 
(2392, 106639) 
(3851, 106706) 
(4385, 106730) 
(4563, 106731) 
(5329, 106759) 
(5738, 106794) 
(6152, 106821) 
(7109, 106846) 
(7250, 106856) 
(7255, 106859) 
(8436, 106913) 
(9130, 106941) 
(9659, 106959) 
(9666, 106961) 
(10016, 106975) 
(10350, 106995) 
(12675, 107109) 
(13841, 107199) 
(15455, 107298) 
(15481, 107300) 
(15488, 107304) 
(15637, 107318) 
(15744, 107328) 
(16073, 107351) 
(17303, 107391) 
(18219, 107419) 
(18674, 107444) 
(316, 107535) 
(762, 107541) 
(1459, 107589) 
(2194, 107621) 
(3519, 107672) 
(5349, 107731) 
(5727, 107748) 
(6147, 107778) 
(7239, 107802) 
(7809, 107820) 
(7928, 107825) 
(10035, 107903) 
(10606, 107928) 
(11644, 107978) 
(11957, 107986) 
(12724, 108032) 
(14078, 108121) 
(14151, 108123) 
(15529, 108200) 
(18638, 108303) 
(19059, 108332) 
(19871, 108373) 
(945, 108401) 
(1209, 108425) 
(1285, 108428) 
(1432, 108431) 
(3248, 108490) 
(3513, 108507) 
(4317, 108530) 
(5144, 108553) 
(5737, 108576) 
(7690, 108619) 
(8251, 108639) 
(8422, 108653) 
(10455, 108719) 
(10692, 108724) 
(11115, 108739) 
(11574, 108764) 
(12248, 108786) 
(13109, 108823) 
(13213, 108838) 
(14432, 108912) 
(15819, 108977) 
(15821, 108979) 
(16206, 108990) 
(17335, 109023) 
(17354, 109028) 
(19089, 109088) 
(483, 109141) 
(1466, 109167) 
(1470, 109170) 
(2054, 109184) 
(2546, 109199) 
(3023, 109213) 
(3305, 109218) 
(4617, 109260) 
(5226, 109269) 
(5746, 109286) 
(5925, 109289) 
(5973, 109294) 
(6997, 109317) 
(7775, 109325) 
(10389, 109403) 
(11179, 109419) 
(12631, 109463) 
(12872, 109477) 
(13216, 109496) 
(13255, 109500) 
(13470, 109510) 
(13571, 109518) 
(13707, 109522) 
(13904, 109532) 
(13941, 109539) 
(14357, 109554) 
(14645, 109555) 
(14860, 109566) 
(15062, 109567) 
(15518, 109597) 
(15740, 109602) 
(16347, 109613) 
(16393, 109620) 
(16665, 109621) 
(17181, 109631) 
(17929, 109641) 
(18523, 109660) 
(18838, 109665) 
(18960, 109679) 
(19291, 109696) 
(204, 109725) 
(896, 109731) 
(1122, 109739) 
(1169, 109742) 
(3020, 109777) 
(4701, 109819) 
(6181, 109841) 
(8412, 109867) 
(8496, 109876) 
(9137, 109892) 
(9723, 109910) 
(11170, 109933) 
(11944, 109944) 
(12326, 109960) 
(12699, 109968) 
(13034, 109978) 
(13199, 109988) 
(13429, 109993) 
(13920, 110004) 
(14162, 110009) 
(15303, 110036) 
(15864, 110047) 
(18255, 110080) 
(18850, 110083) 
(2400, 110161) 
(3329, 110170) 
(3601, 110176) 
(3975, 110184) 
(4172, 110186) 
(4576, 110194) 
(5448, 110195) 
(5512, 110196) 
(6140, 110203) 
(6705, 110206) 
(7723, 110212) 
(8081, 110214) 
